station,peak_deficit,deficit_hours,total_hours,deficit_ratio,dock_pressure_score,recommended_docks
Arsenal Yards,559.0,9,24,0.375,350.4,12
160 Arsenal,252.0,15,24,0.625,176.2,12
Commonwealth Ave at Kelton St,155.0,7,24,0.2916666666666667,104.66666666666667,12
Arsenal on the Charles,136.0,12,24,0.5,101.6,12
Graham and Parks School – Linnaean St at Walker St,84.0,10,18,0.5555555555555556,72.62222222222222,8
Coolidge Sq.,69.0,14,22,0.6363636363636364,66.85454545454544,8
Boynton Yards at 101 South Street,32.0,6,6,1.0,59.2,4
Concord Ave at Spinelli Place,63.0,9,19,0.47368421052631576,56.74736842105263,4
Binney St / Sixth St,50.0,8,12,0.6666666666666666,56.666666666666664,4
Nichols Ave. at Watertown Greenway,61.0,11,24,0.4583333333333333,54.93333333333334,4
Smith Pl at Wilson Rd,56.0,9,17,0.5294117647058824,54.7764705882353,4
Fresh Pond Reservation,44.0,14,20,0.7,54.4,4
Christian Science Plaza - Massachusetts Ave at Westland Ave,61.0,8,18,0.4444444444444444,54.37777777777778,4
Bowdoin St at Quincy St,42.0,9,13,0.6923076923076923,52.892307692307696,4
Charles Circle - Charles St at Cambridge St,53.0,10,20,0.5,51.8,4
Boston Landing,52.0,11,22,0.5,51.2,4
Oak Square - 615 Washington St,52.0,11,23,0.4782608695652174,50.3304347826087,4
Mt Auburn,51.0,10,21,0.47619047619047616,49.647619047619045,4
Sidney Research Campus/Erie Street at Waverly,54.0,7,18,0.3888888888888889,47.955555555555556,4
Commonwealth Ave at Chiswick Rd,30.0,14,19,0.7368421052631579,47.473684210526315,4
700 Huron Ave,29.0,15,20,0.75,47.4,4
Innovation Lab - 125 Western Ave at Batten Way,21.0,20,23,0.8695652173913043,47.38260869565218,4
Charlestown Navy Yard,12.0,7,7,1.0,47.2,4
Commonwealth Ave at Agganis Way,24.0,18,22,0.8181818181818182,47.12727272727273,4
Alewife MBTA at Steel Place,27.0,13,17,0.7647058823529411,46.78823529411765,4
Washington St at Brock St,33.0,15,23,0.6521739130434783,45.88695652173914,4
Brighton Center - Washington St at Cambridge St,32.0,14,21,0.6666666666666666,45.86666666666666,4
