station,hour,departures,arrivals,net_flow
101 Smith Place,7,3.0,2.0,-1.0
101 Smith Place,8,10.0,3.0,-7.0
101 Smith Place,9,1.0,1.0,0.0
101 Smith Place,10,1.0,0.0,-1.0
101 Smith Place,16,2.0,0.0,-2.0
101 Smith Place,17,5.0,0.0,-5.0
1200 Beacon St,0,1.0,0.0,-1.0
1200 Beacon St,8,1.0,1.0,0.0
1200 Beacon St,10,1.0,1.0,0.0
1200 Beacon St,11,2.0,3.0,1.0
1200 Beacon St,12,1.0,1.0,0.0
1200 Beacon St,13,1.0,3.0,2.0
1200 Beacon St,14,2.0,2.0,0.0
1200 Beacon St,15,2.0,1.0,-1.0
1200 Beacon St,16,6.0,4.0,-2.0
1200 Beacon St,17,3.0,3.0,0.0
1200 Beacon St,18,5.0,2.0,-3.0
1200 Beacon St,19,7.0,0.0,-7.0
1200 Beacon St,20,6.0,1.0,-5.0
1200 Beacon St,21,3.0,2.0,-1.0
1200 Beacon St,22,3.0,0.0,-3.0
160 Arsenal,0,176.0,235.0,59.0
160 Arsenal,1,93.0,163.0,70.0
160 Arsenal,2,62.0,87.0,25.0
160 Arsenal,3,25.0,48.0,23.0
160 Arsenal,4,17.0,32.0,15.0
160 Arsenal,5,31.0,24.0,-7.0
160 Arsenal,6,207.0,179.0,-28.0
160 Arsenal,7,321.0,214.0,-107.0
160 Arsenal,8,440.0,206.0,-234.0
160 Arsenal,9,316.0,179.0,-137.0
160 Arsenal,10,431.0,257.0,-174.0
160 Arsenal,11,527.0,278.0,-249.0
160 Arsenal,12,647.0,395.0,-252.0
160 Arsenal,13,511.0,396.0,-115.0
160 Arsenal,14,518.0,519.0,1.0
160 Arsenal,15,566.0,531.0,-35.0
160 Arsenal,16,701.0,641.0,-60.0
160 Arsenal,17,841.0,689.0,-152.0
160 Arsenal,18,748.0,700.0,-48.0
160 Arsenal,19,572.0,560.0,-12.0
160 Arsenal,20,542.0,497.0,-45.0
160 Arsenal,21,459.0,577.0,118.0
160 Arsenal,22,359.0,525.0,166.0
160 Arsenal,23,293.0,354.0,61.0
175 N Harvard St,0,13.0,14.0,1.0
175 N Harvard St,1,7.0,2.0,-5.0
175 N Harvard St,3,1.0,3.0,2.0
175 N Harvard St,4,2.0,1.0,-1.0
175 N Harvard St,7,4.0,6.0,2.0
175 N Harvard St,8,15.0,14.0,-1.0
175 N Harvard St,9,17.0,13.0,-4.0
175 N Harvard St,10,20.0,22.0,2.0
175 N Harvard St,11,21.0,21.0,0.0
175 N Harvard St,12,18.0,28.0,10.0
175 N Harvard St,13,32.0,35.0,3.0
175 N Harvard St,14,38.0,36.0,-2.0
175 N Harvard St,15,38.0,45.0,7.0
175 N Harvard St,16,48.0,50.0,2.0
175 N Harvard St,17,40.0,59.0,19.0
175 N Harvard St,18,40.0,48.0,8.0
175 N Harvard St,19,50.0,39.0,-11.0
175 N Harvard St,20,52.0,51.0,-1.0
175 N Harvard St,21,31.0,29.0,-2.0
175 N Harvard St,22,26.0,26.0,0.0
